,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,Azerbaijan,23,23,20,19,18,17,17,17,18,18,19,19,19,21,22,23,25,22,22,19,19,20,23,23,25,25,25,24,25,26,26,28,29,29,1.0,2.0,,,
,Kazakhstan,87,86,83,77,66,67,59,52,53,47,52,55,58,64,67,68,72,77,80,79,83,87,93,103,95,92,95,103,108,107,111,115,113,113,0.0,3.5,,,
,Russia,"1,082","1,068","1,008",957,876,860,847,834,827,846,878,891,891,916,932,953,996,"1,015","1,040",992,"1,038","1,055","1,071","1,059","1,064","1,068","1,091","1,094","1,115","1,121","1,090","1,159","1,170","1,178",0.7,1.3,,,
,Uzbekistan,56,54,51,49,48,47,45,46,46,45,47,48,49,49,50,49,51,49,49,50,52,52,53,55,56,57,59,60,62,63,67,71,74,78,4.3,2.2,,,
,America,"4,306","4,422","4,473","4,646","4,766","4,916","5,059","5,129","5,294","5,412","5,642","5,432","5,659","5,735","5,883","6,075","6,122","6,234","6,307","6,107","6,352","6,428","6,426","6,509","6,561","6,558","6,588","6,556","6,768","6,695","6,513","6,744","6,964","6,988",0.3,0.9,,,
,North America,"3,701","3,785","3,812","3,944","4,030","4,143","4,251","4,272","4,393","4,477","4,659","4,456","4,653","4,672","4,775","4,916","4,911","4,978","5,001","4,797","4,981","4,983","4,923","4,964","4,999","4,975","4,988","4,950","5,114","5,045","4,912","5,018","5,196","5,153",-0.8,0.4,,,
,Canada,483,509,521,533,556,561,574,574,562,580,606,590,602,590,600,621,610,628,633,609,603,633,632,658,659,658,666,663,659,653,651,643,656,632,-3.6,0.2,,,
,United States,"3,219","3,276","3,291","3,411","3,473","3,582","3,677","3,698","3,830","3,898","4,053","3,865","4,051","4,082","4,175","4,294","4,301","4,350","4,368","4,188","4,378","4,349","4,291","4,306","4,340","4,317","4,322","4,286","4,455","4,392","4,260","4,375","4,540","4,520",-0.4,0.5,,,
,Latin America,605,637,661,702,736,773,808,857,902,935,984,976,"1,007","1,063","1,108","1,159","1,210","1,256","1,306","1,311","1,371","1,445","1,504","1,545","1,562","1,583","1,600","1,607","1,654","1,651","1,602","1,726","1,768","1,835",3.8,2.7,,,
,Argentina,51,54,56,62,66,67,70,73,74,81,89,90,85,93,100,107,115,108,122,122,126,130,135,141,139,145,146,146,152,146,145,154,146,149,1.9,2.3,,,
